City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Condition
191,Santhia,IT,2022-08-09 05:13:20,45.3663,8.1726,74.66,82,8,5.28,clear sky
192,Paraguacu,BR,2022-08-09 05:13:21,-21.5472,-45.7375,57.92,93,81,3.29,broken clouds
193,Geraldton,AU,2022-08-09 05:13:21,-28.7667,114.6,59.41,63,75,24.16,broken clouds
194,Port Lincoln,AU,2022-08-09 05:13:21,-34.7333,135.8667,58.82,54,67,15.57,broken clouds
195,Ndioum,SN,2022-08-09 05:13:22,16.5129,-14.6471,84.58,62,24,14.2,few clouds
196,Porto Walter,BR,2022-08-09 05:13:22,-8.2686,-72.7439,72.7,91,25,2.06,scattered clouds
197,Los Llanos De Aridane,ES,2022-08-09 05:13:23,28.6585,-17.9182,70.12,76,100,14.97,overcast clouds
198,Cap Malheureux,MU,2022-08-09 05:13:23,-19.9842,57.6142,71.47,74,2,7.0,light rain
199,Saint George,US,2022-08-09 05:09:19,37.1041,-113.5841,92.95,33,0,8.05,clear sky
200,Cabo San Lucas,MX,2022-08-09 05:10:50,22.8909,-109.9124,84.61,79,85,5.53,overcast clouds
201,Port Hedland,AU,2022-08-09 05:13:24,-20.3167,118.5667,86.05,9,12,6.91,few clouds
202,Pevek,RU,2022-08-09 05:13:24,69.7008,170.3133,45.91,65,92,11.52,overcast clouds
203,Antsohihy,MG,2022-08-09 05:13:25,-14.8796,47.9875,76.37,48,3,10.65,clear sky
204,Ekibastuz,KZ,2022-08-09 05:13:25,51.6667,75.3667,70.14,56,100,13.24,light rain
205,Fereydun Kenar,IR,2022-08-09 05:13:26,36.6864,52.5225,80.96,76,96,14.32,light rain
206,Camacha,PT,2022-08-09 05:13:26,33.0833,-16.3333,65.62,83,40,12.66,scattered clouds
207,Krasnovishersk,RU,2022-08-09 05:13:26,60.4078,57.082,74.82,60,34,4.7,scattered clouds
208,Angoche,MZ,2022-08-09 05:13:27,-16.2325,39.9086,71.01,77,0,4.25,light rain
209,Lorengau,PG,2022-08-09 05:13:27,-2.0226,147.2712,84.02,71,48,10.33,light rain
210,Sirjan,IR,2022-08-09 05:13:27,29.452,55.6814,87.71,16,0,3.18,clear sky
211,Cockburn Town,TC,2022-08-09 05:13:28,21.4612,-71.1419,81.55,85,99,21.34,overcast clouds
212,San Patricio,US,2022-08-09 05:13:28,28.017,-97.5169,84.88,72,39,7.43,scattered clouds
213,Severnyy,RU,2022-08-09 05:13:28,50.677,36.5532,71.64,73,0,4.47,clear sky
214,Pierre,US,2022-08-09 05:13:29,44.3683,-100.351,73.85,61,0,12.66,clear sky
215,Lompoc,US,2022-08-09 05:13:29,34.6391,-120.4579,64.54,82,100,18.99,overcast clouds
216,Ola,RU,2022-08-09 05:13:30,59.5833,151.2833,80.15,57,92,4.94,overcast clouds
217,Dingle,PH,2022-08-09 05:13:30,10.9995,122.6711,84.52,73,89,3.76,overcast clouds
218,Richards Bay,ZA,2022-08-09 05:13:30,-28.783,32.0377,66.47,83,86,12.73,light rain
219,Namatanai,PG,2022-08-09 05:13:30,-3.6667,152.4333,84.16,67,61,5.82,broken clouds
220,Cururupu,BR,2022-08-09 05:12:37,-1.8283,-44.8683,73.45,94,6,4.12,clear sky
221,Yuksekova,TR,2022-08-09 05:10:02,37.5736,44.2872,67.75,52,0,3.44,clear sky
222,Kenai,US,2022-08-09 05:13:31,60.5544,-151.2583,54.03,87,100,16.11,light rain
223,Lekoni,GA,2022-08-09 05:14:32,-1.5843,14.2591,73.11,72,65,7.36,broken clouds
224,Mehamn,NO,2022-08-09 05:14:32,71.0357,27.8492,53.55,76,75,6.91,broken clouds
225,Hannibal,US,2022-08-09 05:13:21,39.7084,-91.3585,72.7,94,82,6.78,broken clouds
226,Camocim,BR,2022-08-09 05:14:33,-2.9022,-40.8411,74.34,83,4,12.53,clear sky
227,Beloha,MG,2022-08-09 05:14:33,-25.1667,45.05,65.61,69,0,10.18,clear sky
228,Isangel,VU,2022-08-09 05:14:33,-19.55,169.2667,75.54,79,58,11.52,broken clouds
229,New Norfolk,AU,2022-08-09 05:14:34,-42.7826,147.0587,54.91,46,5,2.35,clear sky
230,Bambous Virieux,MU,2022-08-09 05:14:34,-20.3428,57.7575,73.65,73,40,12.66,light rain
231,Muisne,EC,2022-08-09 05:14:35,0.6,-80.0333,73.81,88,95,7.27,overcast clouds
232,Sitka,US,2022-08-09 05:14:35,57.0531,-135.33,58.89,77,20,13.8,few clouds
233,Goure,NE,2022-08-09 05:14:35,13.9835,10.2704,77.02,68,51,4.85,broken clouds
234,San Carlos De Bariloche,AR,2022-08-09 05:10:27,-41.1456,-71.3082,33.24,85,90,3.15,overcast clouds
235,Coria,ES,2022-08-09 05:11:36,39.9879,-6.5377,68.45,42,0,1.3,clear sky
236,Karpogory,RU,2022-08-09 05:14:36,64.0019,44.4451,61.68,59,71,1.74,broken clouds
237,Graaff-Reinet,ZA,2022-08-09 05:14:37,-32.2522,24.5308,51.03,66,55,7.02,broken clouds
238,North Myrtle Beach,US,2022-08-09 05:09:44,33.816,-78.68,82.06,81,0,13.8,clear sky
