City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Bontang,ID,81.64,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
576,Kanigoro,ID,83.28,scattered clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
578,Oneonta,US,76.3,broken clouds,42.4529,-75.0638,Hampton Inn Oneonta
581,Sibu,MY,88.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
582,Kuryk,KZ,82.76,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
585,Alta Floresta,BR,71.44,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
586,Sur,OM,91.89,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
588,Grand-Lahou,CI,74.14,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
589,Nantucket,US,79.0,clear sky,41.2835,-70.0995,Jared Coffin House
594,Krasnyy Chikoy,RU,74.86,broken clouds,50.3643,108.7512,Persona
596,Jhanjharpur,IN,93.27,clear sky,26.2667,86.2833,Krishna Sweets
597,Asyut,EG,86.9,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
601,Ler,SS,73.2,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
602,Punta De Piedra,VE,70.59,scattered clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
604,Jackson,US,80.47,clear sky,42.4165,-122.8345,Agate Village Apartments
606,Arona,ES,77.9,clear sky,28.0996,-16.681,Paradise Court
610,Ormond Beach,US,82.0,scattered clouds,29.2858,-81.0559,Makai Beach Lodge
611,Freeport,US,86.05,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
613,Zalantun,CN,78.49,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
619,Jagatsinghapur,IN,82.76,very heavy rain,20.2667,86.1667,Arun Beura & Bros..
620,Kattivakkam,IN,91.49,overcast clouds,13.2167,80.3167,Euronova Freezer
624,Zhuhai,CN,82.85,light intensity shower rain,22.2769,113.5678,珠海粤财假日酒店
631,Eyl,SO,80.53,overcast clouds,7.9803,49.8164,Amiin Hotel
636,Mitsamiouli,KM,75.34,broken clouds,-11.3847,43.2844,Foyer ADM
639,Havelock,US,82.94,clear sky,34.8791,-76.9013,Sherwood Motel
